Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14
0.12203789,-0.27387005,-0.7176856,0.8900355,-0.3310247,-0.29597607,-0.9492387,0.9606424,-0.9759171,0.5363594,0.7303724,0.9605956,0.66860944,-0.8617245
0.8496967,0.77668446,-0.688122,0.3844483,-0.73252964,-0.61805964,-0.9891922,0.96974444,-0.96247625,0.6275013,0.2588649,0.5961561,0.42906925,-0.5922657
-0.71888864,0.87631804,0.7681287,-0.89576465,0.3198247,0.7854323,-0.22385423,-0.8359163,0.7701353,0.9314088,0.717316,0.2052659,-0.524254,0.65615857
-0.8803863,-0.6961866,-0.9134306,-0.6780015,0.42742783,0.9534448,-0.3478814,0.39899823,-0.4059808,-0.114239685,0.73696494,0.9882041,-0.70097303,-0.6556799
-0.23603027,-0.08642765,-0.22354467,-0.23570286,-0.08166018,0.42132747,-0.29719308,0.025979726,-0.03500074,0.25690126,0.26062518,0.6470101,-0.0031014022,-0.08047294
0.96914035,0.015604822,-0.026265914,0.026037654,-0.97081333,-0.9645332,-0.91294754,-0.15592901,0.1907337,-0.36411968,-0.97538763,-0.7429643,0.9321353,0.21379413
-0.9115663,0.70889246,0.20581605,-0.9429226,0.7291359,0.98103946,0.3281193,-0.787423,0.6686893,0.7993611,0.95173293,0.635971,-0.8806899,0.72142726
0.2071969,-0.7120991,-0.8806533,0.16487987,-0.87327296,0.10407732,-0.9457174,0.63910174,-0.7361232,0.10235168,-0.090029426,0.9815353,0.7132132,-0.60900444
-0.6083101,-0.72689295,-0.45419857,0.86290264,0.76509225,0.4803485,0.6474897,0.7559431,-0.7733129,-0.57603353,0.706737,0.6692386,-0.41217926,-0.72029805
-0.9284943,0.2857178,-0.4205657,0.09446612,0.9542299,0.9594441,0.5626367,0.6869044,-0.6974564,0.41455153,0.9779393,0.8152266,-0.90088016,-0.4630193
-0.8347313,-0.707161,-0.17111449,-0.52491266,0.8527512,0.8194423,0.9664737,-0.73122066,0.76812917,-0.76514405,0.08775281,-0.074674845,-0.78387636,0.017175311
