Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62,Column63,Column64,Column65,Column66,Column67,Column68,Column69,Column70,Column71,Column72,Column73,Column74,Column75,Column76,Column77,Column78,Column79,Column80,Column81,Column82,Column83,Column84,Column85,Column86,Column87,Column88,Column89,Column90,Column91,Column92,Column93,Column94,Column95,Column96,Column97,Column98,Column99,Column100
3,1,13,26,3,2,2,2,37,26,23,2,5,22,35,2,5,37,1,1,1,1,1,35,6,2,2,3,1,4,44,1,4,1,1,3,1,1,32,1,1,26,1,4,2,12,5,15,2,2,9,1,16,1,1,1,1,36,1,16,21,1,3,1,1,2,3,4,1,1,17,1,41,15,2,1,1,1,1,14,28,18,14,3,5,1,1,1,4,30,1,32,4,3,3,1,1,36,2,1
3,1,13,21,3,2,2,3,21,10,24,2,11,17,35,2,16,21,1,1,1,1,1,13,24,21,3,3,1,4,14,1,32,1,1,10,1,1,23,1,1,13,1,4,4,12,32,15,4,30,9,1,16,1,1,1,1,36,1,16,21,1,3,1,1,6,3,4,1,1,6,1,41,15,2,1,1,1,1,14,28,18,20,3,27,1,1,1,4,40,1,18,4,3,10,1,1,12,4,1
4,1,21,28,12,1,2,2,24,21,10,10,40,8,17,4,24,24,2,1,2,1,1,12,18,19,2,5,1,6,8,1,9,1,1,39,1,1,5,1,1,6,1,5,2,13,9,10,4,22,21,1,29,1,1,1,1,16,1,8,7,1,3,2,1,9,2,4,1,1,30,1,40,11,4,3,1,1,1,17,11,14,23,44,18,1,1,1,4,21,1,23,7,1,39,1,1,24,2,1
1,1,10,1,10,3,1,4,14,5,6,8,22,5,39,3,2,14,2,1,2,1,1,21,2,7,4,1,1,1,37,1,1,1,1,5,2,1,1,1,1,19,1,1,3,5,1,2,3,1,2,1,13,2,1,1,1,5,1,9,26,1,1,2,1,3,1,3,1,1,7,1,8,12,3,3,1,1,1,3,18,16,2,10,2,1,1,1,2,9,2,20,3,1,5,1,1,30,1,1
7,1,9,4,8,3,8,1,17,11,27,1,12,28,50,1,3,17,2,1,2,1,1,22,5,3,1,8,1,1,15,1,19,1,1,14,2,1,24,1,1,21,1,1,1,9,23,3,1,18,3,1,43,2,1,1,1,52,1,11,7,1,1,2,1,5,2,1,1,1,19,1,6,20,1,2,1,1,1,17,5,41,16,39,17,1,1,1,2,16,2,24,7,1,14,1,1,4,7,1
2,1,16,11,4,1,3,4,8,3,7,3,7,7,8,3,2,8,2,1,2,1,1,4,2,4,4,2,1,3,5,1,1,1,1,1,2,1,1,1,1,11,1,3,3,6,1,2,1,1,4,1,1,1,1,1,1,8,1,3,1,1,4,2,1,4,2,3,1,1,3,1,4,1,3,3,1,1,1,3,2,1,2,1,7,1,1,1,3,6,1,7,3,1,1,1,1,8,3,1
10,1,56,19,5,4,10,5,41,13,18,5,57,55,60,5,9,41,1,1,1,1,1,45,19,8,5,9,1,2,9,1,30,1,1,6,1,1,12,1,1,34,1,5,7,13,8,9,2,26,22,1,8,1,1,1,1,59,1,6,35,1,5,1,1,7,1,2,1,1,15,1,43,33,5,1,1,1,1,24,47,12,26,7,10,1,1,1,1,54,1,15,5,2,6,1,1,15,4,1
5,1,8,15,7,2,4,6,7,23,15,4,10,9,16,7,4,7,1,1,1,1,1,18,8,5,6,4,1,2,12,1,13,1,1,30,1,1,14,1,1,4,1,2,8,2,29,6,2,4,8,1,9,1,1,1,1,15,1,5,12,1,2,1,1,8,1,2,1,1,5,1,19,10,6,1,1,1,1,4,29,13,6,26,9,1,1,1,1,14,1,11,6,3,30,1,1,10,6,1
1,1,44,42,1,3,1,1,35,20,11,1,44,3,51,1,3,35,2,1,2,1,1,46,14,3,1,1,1,3,13,1,7,1,1,21,2,1,24,1,1,30,1,1,1,14,16,3,3,5,3,1,32,2,1,1,1,53,1,13,9,1,1,2,1,18,2,1,1,1,29,1,45,27,1,2,1,1,1,6,44,33,3,41,12,1,1,1,2,17,2,45,1,1,21,1,1,11,7,1
1,1,19,22,1,3,1,1,26,2,1,1,15,21,30,1,1,26,2,1,2,1,1,31,1,1,1,1,1,1,26,1,2,1,1,9,2,1,2,1,1,3,1,1,1,1,4,1,3,3,1,1,7,2,1,1,1,30,1,1,13,1,1,2,1,1,2,1,1,1,1,1,14,25,1,2,1,1,1,1,21,11,12,12,1,1,1,1,2,20,2,10,1,4,9,1,1,20,1,1
2,1,7,24,10,1,3,4,45,8,8,3,16,24,3,3,7,45,2,1,2,1,1,17,9,12,4,2,1,3,6,1,6,1,1,37,2,1,10,1,1,37,1,5,3,5,7,14,1,7,2,1,24,2,1,1,1,5,1,3,26,1,4,2,1,3,2,3,1,1,35,1,37,43,3,3,1,1,1,8,7,43,5,28,2,1,1,1,3,37,2,16,3,1,37,1,1,16,3,1
4,1,31,4,15,3,8,1,17,18,14,6,35,26,12,6,23,17,2,1,2,1,1,41,21,13,1,5,1,1,30,1,26,1,1,28,2,1,26,1,1,21,1,1,7,14,26,3,3,18,17,1,38,2,1,1,1,12,1,13,17,1,1,2,1,5,2,1,1,1,23,1,6,20,4,2,1,1,1,12,26,15,16,27,13,1,1,1,2,32,2,40,7,1,28,1,1,35,7,1
1,1,40,12,1,3,1,1,1,34,1,1,20,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,3,1,2,1,1,2,2,1,2,1,1,38,1,1,1,1,4,1,3,28,1,1,2,2,1,1,1,1,1,1,5,1,1,3,1,1,1,1,1,1,1,1,15,18,1,2,1,1,1,1,35,2,1,5,23,1,1,1,2,2,2,38,1,4,2,1,1,2,1,1
1,1,22,31,1,3,1,1,49,7,1,1,30,34,11,1,1,49,2,1,2,1,1,36,1,1,1,1,1,1,29,1,2,1,1,2,2,1,2,1,1,12,1,1,1,1,4,1,3,3,1,1,45,2,1,1,1,10,1,1,5,1,1,3,1,1,1,1,1,1,1,1,26,39,1,2,1,1,1,1,40,42,1,5,11,1,1,1,2,2,2,31,1,2,2,1,1,38,1,1
1,1,25,23,1,3,1,1,15,15,22,1,25,20,19,1,6,15,2,1,2,1,1,20,7,14,1,1,1,1,21,1,5,1,1,9,2,1,21,1,1,23,1,1,1,4,2,1,3,17,24,1,7,2,1,1,1,17,1,4,11,1,1,2,1,15,2,1,1,1,14,1,29,24,1,2,1,1,1,9,13,11,7,12,20,1,1,1,2,19,2,19,1,4,9,1,1,2,1,1
1,1,19,22,1,3,1,1,26,11,32,1,15,21,30,1,6,26,2,1,2,1,1,31,1,1,1,1,1,1,26,1,5,1,1,9,2,1,15,1,1,3,1,1,1,1,2,1,3,3,1,1,7,2,1,1,1,30,1,1,13,1,1,2,1,1,2,1,1,1,1,1,14,25,1,2,1,1,1,1,21,11,1,12,1,1,1,1,2,20,2,10,1,4,9,1,1,20,1,1
2,1,4,1,4,1,3,4,2,3,6,3,1,2,33,3,26,2,2,1,2,1,1,7,2,7,4,2,1,3,1,1,1,1,1,1,2,1,1,1,1,31,1,3,3,6,1,2,1,1,2,1,1,1,1,1,1,34,1,3,1,1,4,2,1,3,2,3,1,1,7,1,30,28,3,3,1,1,1,3,4,1,5,1,2,1,1,1,3,46,2,5,3,1,1,1,1,18,3,1
8,1,55,1,10,1,3,4,2,5,43,4,1,2,61,3,21,2,2,1,2,1,1,28,9,7,4,7,1,1,1,1,1,1,1,43,2,1,33,1,1,2,1,2,4,5,1,2,1,1,2,1,1,1,1,1,1,60,1,9,1,1,4,2,1,26,2,3,1,1,31,1,22,1,3,3,1,1,1,3,49,1,24,48,2,1,1,1,1,25,1,56,3,2,43,1,1,32,1,1
